idx,config_id,true_energy,oob_model_count,energy_std_oob,source
148,be2d976b49a2d85c89c189e2ccf1fc60825ee04e,-64251.29296875,3,0.08543565378340454,bi11-3
149,29c96055579f46bc14384c00a0070696c9c90548,-64250.95703125,5,0.10507590304821157,bi11-3
150,2834f32abe2d5926539586965678720f0a5c0b37,-64251.58984375,2,0.024633179328778503,bi11-3
151,a0519e85e9b78bea4d487d93c314d1ad80baf939,-64251.51953125,5,0.10674582432912251,bi11-3
152,30129254862b52bbcdb4ce7330f49de0f3178a91,-64251.26953125,3,0.14763746372317668,bi11-3
153,a0cbd7a90f316de1d7abb6eeb79fe4c32cfbb569,-64251.1484375,1,0.0,bi11-3
154,d0e83d11b5b33e26c0433b148b2a08318221de15,-64251.70703125,1,0.0,bi11-3
155,560ad180ac117a15badbd4ae7322dc1460895db2,-64251.18359375,3,0.09290568383694936,bi11-3
156,7e01c68a0bcc6a050ae73ebc2e7c78515220e6fd,-64250.6796875,2,0.1610289448999866,bi11-3
157,adc9d8d02adc3efcfc32636e2deb0592b1398760,-64251.28515625,3,0.04604169693644952,bi11-3
158,03dac457354b59e73a0beb190ea72b70691e954f,-64250.4609375,3,0.08696849527906118,bi11-3
159,48a74470148f9dceefdb7abd60aa5d9fd5aa8f04,-64250.828125,2,0.08994914131835155,bi11-3
160,1592cfe37aef44eb624c7235c86c96962945c6a6,-64251.49609375,5,0.10780187261240852,bi11-3
161,18b470c1ff39729b55f59db11259d09e5cbd54c6,-64251.47265625,3,0.10851941600884675,bi11-3
162,ecc4ba9cca83e96ff71d17ee2ce00dcc254c9fe7,-64250.8515625,2,0.028299345002594758,bi11-3
163,f70714b27ae31c7bf752a3143bdd16fa169e330a,-64251.68359375,2,0.07999114303489276,bi11-3
164,fd67f1401f939ac504e6b9ef24230dd53a4bfcc4,-64251.671875,1,0.0,bi11-3
165,13d600f0ac27e297a646116e31ce14e2bc9fd71a,-64251.609375,1,0.0,bi11-3
166,49b3dbeb685bf3703ffa62c8a70882be6f304f3d,-64251.21484375,4,0.09640867179190941,bi11-3
167,b95179edc2ee1950cdd5a57ec70cba301f243a60,-64251.06640625,2,0.08462003926206192,bi11-3
168,97fccef1b76b6169200ca98ca73f43fba7517bbe,-64251.64453125,2,0.07584323617639065,bi11-3
169,5577f9b854902cca47c342f1bbdd3a12630e997d,-64251.29296875,5,0.10537129640514734,bi11-3
170,6f989f267dfe61c510630c2abe07eb36dd7f82df,-64251.8046875,1,0.0,bi11-3
171,8465aaa1688daf3da36cbb018120d0f079c892bb,-64251.62109375,3,0.05485246697752693,bi11-3
172,315c5d5c12e2229de012fe75d8b526d3871e9555,-64251.328125,3,0.05664327273589229,bi11-3
